"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp2-R0"
"04/15/2020 15:18:04:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-symptomatiques","p-asymptomatiques","p-immuniser","p-mort","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"101","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","261","0.7017374517374517","0.9931224209078404","19.441540577716644","0.9931224209078404"
"102","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","234","0.667953667953668","0.9927745664739884","20.065028901734102","0.9927745664739884"
"104","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","244","0.9025096525096525","0.9946524064171123","20.863101604278075","0.9946524064171123"
"98","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","303","0.30984555984555984","0.9844236760124611","19.71651090342679","0.9844236760124611"
"103","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","330","0.8918918918918919","0.9945887445887446","20.91125541125541","0.9945887445887446"
"108","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","180","0.5984555984555985","0.9919354838709677","18.087096774193547","0.9919354838709677"
"107","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","295","0.8812741312741312","0.9945235487404163","20.09419496166484","0.9945235487404163"
"105","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","273","0.6148648648648649","0.9921507064364207","18.61695447409733","0.9921507064364207"
"106","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","411","0.8426640926640927","0.9942726231386025","20.207331042382588","0.9942726231386025"
"112","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","301","0.9314671814671814","0.9948186528497409","20.945077720207255","0.9948186528497409"
"110","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","341","0.8397683397683398","0.9942528735632183","19.26896551724138","0.9942528735632183"
"109","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","323","0.7355212355212355","0.9934383202099738","19.921259842519685","0.9934383202099738"
"115","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","293","0.8648648648648649","0.9944196428571429","19.930803571428573","0.9944196428571429"
"113","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","426","0.9111969111969112","0.9947033898305084","20.173728813559322","0.9947033898305084"
"114","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","266","0.7915057915057915","0.9939024390243902","18.848780487804877","0.9939024390243902"
"116","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","266","0.8474903474903475","0.9943052391799544","18.826879271070617","0.9943052391799544"
"118","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","262","0.8774131274131274","0.9944994499449945","19.522552255225524","0.9944994499449945"
"117","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","360","0.8465250965250966","0.9942987457240593","19.258836944127708","0.9942987457240593"
"122","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","264","0.9459459459459459","0.9948979591836735","21.225510204081633","0.9948979591836735"
"119","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","341","0.8706563706563707","0.9944567627494457","19.235033259423503","0.9944567627494457"
"111","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","593","0.7982625482625483","0.9939540507859734","19.564691656590085","0.9939540507859734"
"121","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","315","0.9276061776061776","0.9947970863683663","19.894901144641","0.9947970863683663"
"120","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","312","0.8021235521235521","0.9939831528279182","20.253910950661854","0.9939831528279182"
"127","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","247","0.8803088803088803","0.9945175438596491","20.164473684210527","0.9945175438596491"
"123","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","303","0.7480694980694981","0.9935483870967742","19.963870967741936","0.9935483870967742"
"124","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","281","0.8503861003861004","0.9943246311010215","20.054483541430194","0.9943246311010215"
"128","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","230","0.8561776061776062","0.9943630214205186","21.562570462232244","0.9943630214205186"
"129","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","286","0.8687258687258688","0.9944444444444445","20.05","0.9944444444444445"
"126","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","311","0.831081081081081","0.9941927990708479","19.696864111498257","0.9941927990708479"
"125","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","333","0.7239382239382239","0.9933333333333333","19.226666666666667","0.9933333333333333"
"130","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","234","0.500965250965251","0.9903660886319846","19.16955684007707","0.9903660886319846"
"133","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","259","0.9131274131274131","0.9947145877378436","21.428118393234673","0.9947145877378436"
"132","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","270","0.7586872586872587","0.9936386768447837","21.0559796437659","0.9936386768447837"
"131","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","310","0.8706563706563707","0.9944567627494457","21.353658536585368","0.9944567627494457"
"135","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","328","0.8581081081081081","0.9943757030371203","19.260967379077616","0.9943757030371203"
"138","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","271","0.88996138996139","0.9945770065075922","19.865509761388285","0.9945770065075922"
"137","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","268","0.777992277992278","0.9937965260545906","18.98511166253102","0.9937965260545906"
"134","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","371","0.721042471042471","0.9933065595716198","19.08835341365462","0.9933065595716198"
"139","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","328","0.8735521235521235","0.994475138121547","19.643093922651932","0.994475138121547"
"136","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","379","0.6505791505791506","0.9925816023738873","19.725519287833826","0.9925816023738873"
"144","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","211","0.8832046332046332","0.994535519125683","19.275409836065574","0.994535519125683"
"140","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","276","0.7123552123552124","0.9932249322493225","19.037940379403793","0.9932249322493225"
"142","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","369","0.8552123552123552","0.9943566591422122","19.72234762979684","0.9943566591422122"
"141","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","381","0.888030888030888","0.9945652173913043","20.808695652173913","0.9945652173913043"
"143","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","332","0.8957528957528957","0.9946120689655172","20.369612068965516","0.9946120689655172"
"145","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","298","0.8803088803088803","0.9945175438596491","20.582236842105264","0.9945175438596491"
"146","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","257","0.7837837837837838","0.9938423645320197","19.38054187192118","0.9938423645320197"
"147","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","303","0.8252895752895753","0.9941520467836257","20.712280701754388","0.9941520467836257"
"149","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","285","0.8967181467181468","0.9946178686759957","20.159311087190527","0.9946178686759957"
"150","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","288","0.8841698841698842","0.9945414847161572","20.139737991266376","0.9945414847161572"
"151","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","287","0.9083011583011583","0.9946865037194474","19.97449521785335","0.9946865037194474"
"148","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","301","0.7673745173745173","0.9937106918238994","19.612578616352202","0.9937106918238994"
"153","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","309","0.9063706563706564","0.9946751863684771","20.510117145899894","0.9946751863684771"
"156","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","243","0.9044401544401545","0.9946638207043756","20.61472785485592","0.9946638207043756"
"155","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","339","0.917953667953668","0.9947423764458465","19.980021030494218","0.9947423764458465"
"158","pop-sans-asymptomatique","0.04","4","false","1","1","0.05","0","0","0","0","1","263","0.9459459459459459","0.9948979591836735","21.191836734693876","0.9948979591836735"
