"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp1-R0"
"04/15/2020 14:49:09:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-asymptomatiques","p-symptomatiques","p-immuniser","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"116","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","784","0.999034749034749","9.514009661835749","104.20966183574879","0.9990338164251208"
"118","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","766","0.999034749034749","9.905314009661836","101.5024154589372","1"
"117","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","742","1","10.241312741312742","96.77606177606178","0.999034749034749"
"113","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","828","1","9.583011583011583","99.32142857142857","1"
"120","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","712","1","10.35135135135135","97.56467181467181","1"
"122","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","808","1","9.78957528957529","93.56853281853282","0.999034749034749"
"119","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","793","0.9980694980694981","9.5","95.61702127659575","0.9990328820116054"
"123","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","807","1","9.50965250965251","104.23455598455598","1"
"121","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","792","0.999034749034749","9.53816425120773","101.00289855072464","0.9990338164251208"
"124","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","864","1","9.957528957528957","100.753861003861","0.999034749034749"
"125","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","666","1","9.73938223938224","97.003861003861","0.999034749034749"
"126","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","728","1","10.13996138996139","94.68629343629344","0.999034749034749"
"127","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","812","1","10","105.04247104247104","0.999034749034749"
"130","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","810","1","9.888030888030888","96.27413127413128","0.999034749034749"
"129","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","749","1","9.748069498069498","98.87258687258688","1"
"128","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","869","1","10.247104247104247","96.45945945945945","0.999034749034749"
"132","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","784","1","9.700772200772201","104.78571428571429","1"
